DRG,Age_Group,DRG_Partition,Separations,Pred_ALOS,Pred_Patient_Days,Scenario_ALOS_10pct,Bed_Days_Saved_10pct
L61Z Haemodialysis,17- Age 75-79 yrs,2- Medical,232863,1.8296590186829933,426059.88806757785,1.646693116814694,42605.98880675773
L61Z Haemodialysis,18- Age 80-84 yrs,2- Medical,170023,2.074267155523475,352673.1245835678,1.8668404399711274,35267.312458356784
L61Z Haemodialysis,16- Age 70-74 yrs,2- Medical,217419,1.5653338307909364,340333.3161567346,1.4088004477118428,34033.331615673436
L61Z Haemodialysis,15- Age 65-69 yrs,2- Medical,212441,1.352524258580769,287331.60601715714,1.2172718327226921,28733.160601715703
L61Z Haemodialysis,14- Age 60-64 yrs,2- Medical,210018,1.235345411202057,259444.7725698336,1.1118108700818514,25944.477256983344
L61Z Haemodialysis,19- Age 85+ yrs,2- Medical,91838,2.5552757030023967,234671.41001233412,2.299748132702157,23467.141001233424
R63Z Pharmacotherapy for Neoplastic Disorders,17- Age 75-79 yrs,2- Medical,105454,2.144798613054646,226177.59294106462,1.9303187517491813,22617.75929410645
R63Z Pharmacotherapy for Neoplastic Disorders,16- Age 70-74 yrs,2- Medical,109121,1.880473425162589,205199.14062716687,1.6924260826463302,20519.914062716678
L61Z Haemodialysis,13- Age 55-59 yrs,2- Medical,169166,1.0630136014704297,179825.75890634672,0.9567122413233867,17982.575890634675
"P68D Neonate, Admission Weight >= 2500g without Significant GI or Ventilation >= 96 Hours, >= 37 Complete Weeks Gestation, Minor Complexity",01- Age under 1,2- Medical,33719,5.093953448412966,171763.0163270368,4.58455810357167,17176.30163270366
R63Z Pharmacotherapy for Neoplastic Disorders,15- Age 65-69 yrs,2- Medical,101128,1.6676638529524217,168647.5101213725,1.5008974676571796,16864.751012137247
C16Z Lens Interventions,17- Age 75-79 yrs,1- Intervention,78468,1.9207588199229884,150718.10308171704,1.7286829379306896,15071.810308171698
L61Z Haemodialysis,12- Age 50-54 yrs,2- Medical,148595,0.9850756233375,146377.3122498358,0.88656806100375,14637.731224983581
R63Z Pharmacotherapy for Neoplastic Disorders,18- Age 80-84 yrs,2- Medical,61117,2.3894067498951292,146033.3723333406,2.1504660749056166,14603.337233334052
R63Z Pharmacotherapy for Neoplastic Disorders,14- Age 60-64 yrs,2- Medical,86693,1.5504850055737096,134416.1965882016,1.3954365050163386,13441.619658820142
C16Z Lens Interventions,16- Age 70-74 yrs,1- Intervention,71854,1.6564336320309314,119021.38219595054,1.4907902688278383,11902.138219595057
C16Z Lens Interventions,18- Age 80-84 yrs,1- Intervention,47626,2.16536695676347,103127.76668281702,1.9488302610871229,10312.776668281702
"E62A Respiratory Infections and Inflammations, Major Complexity",19- Age 85+ yrs,2- Medical,16101,6.3259778965403415,101854.57011219604,5.693380106886307,10185.457011219609
"G48B Colonoscopy, Minor Complexity",16- Age 70-74 yrs,1- Intervention,48965,1.8888682293188852,92488.43284859922,1.6999814063869967,9248.843284859919
R63Z Pharmacotherapy for Neoplastic Disorders,13- Age 55-59 yrs,2- Medical,63505,1.378153195842084,87519.61870195155,1.2403378762578756,8751.961870195155
R63Z Pharmacotherapy for Neoplastic Disorders,19- Age 85+ yrs,2- Medical,29159,2.8704152973740498,83698.43965612992,2.583373767636645,8369.843965612992
"G48B Colonoscopy, Minor Complexity",15- Age 65-69 yrs,1- Intervention,49733,1.676058657108718,83355.42519398787,1.5084527913978463,8335.54251939879
"G48B Colonoscopy, Minor Complexity",14- Age 60-64 yrs,1- Intervention,48601,1.5588798097300058,75763.11763268801,1.4029918287570053,7576.311763268794
"C03B Retinal Interventions, Minor Complexity",19- Age 85+ yrs,1- Intervention,26163,2.8723583921961517,75149.51261502792,2.5851225529765367,7514.9512615027925
"G48B Colonoscopy, Minor Complexity",17- Age 75-79 yrs,1- Intervention,34239,2.153193417210942,73723.18941188545,1.937874075489848,7372.318941188554
"F62A Heart Failure and Shock, Major Complexity",19- Age 85+ yrs,2- Medical,7403,9.87819218998561,73128.25678246348,8.890372970987048,7312.825678246358
C16Z Lens Interventions,15- Age 65-69 yrs,1- Intervention,48425,1.4436240598207641,69907.49509682051,1.2992616538386879,6990.749509682049
"O01C Caesarean Delivery, Minor Complexity",08- Age 30-34 yrs,1- Intervention,21535,3.2245406057060966,69440.48194388079,2.902086545135487,6944.048194388073
"O01B Caesarean Delivery, Intermediate Complexity",08- Age 30-34 yrs,1- Intervention,17347,3.978996907903284,69023.65936139827,3.581097217112956,6902.365936139824
R63Z Pharmacotherapy for Neoplastic Disorders,12- Age 50-54 yrs,2- Medical,52136,1.3002152177091535,67788.02059048443,1.1701936959382382,6778.802059048445
"O60B Vaginal Delivery, Intermediate Complexity",08- Age 30-34 yrs,2- Medical,26017,2.584166560663795,67232.26140878996,2.3257499045974157,6723.226140878993
L61Z Haemodialysis,11- Age 45-49 yrs,2- Medical,94547,0.7093911377246185,67070.8038984495,0.6384520239521566,6707.080389844959
"B63A Dementia and Other Chronic Disturbances of Cerebral Function, Major Complexity",19- Age 85+ yrs,2- Medical,3710,17.62393017085521,65384.78093387283,15.86153715376969,6538.478093387283
"F62B Heart Failure and Shock, Minor Complexity",19- Age 85+ yrs,2- Medical,11567,5.3855409695625145,62294.552394929604,4.846986872606263,6229.455239492956
C16Z Lens Interventions,19- Age 85+ yrs,1- Intervention,22511,2.6463755042423918,59572.55897600048,2.3817379538181527,5957.255897600044
"O01C Caesarean Delivery, Minor Complexity",09- Age 35-39 yrs,1- Intervention,17308,3.293736061068643,57007.983744976074,2.964362454961779,5700.798374497608
"G48B Colonoscopy, Minor Complexity",13- Age 55-59 yrs,1- Intervention,39876,1.3865479999983803,55289.98804793541,1.2478931999985423,5528.99880479354
"G46B Complex Endoscopy, Minor Complexity",16- Age 70-74 yrs,1- Intervention,30590,1.7608814886368362,53865.36473740082,1.5847933397731526,5386.536473740081
"E62A Respiratory Infections and Inflammations, Major Complexity",18- Age 80-84 yrs,2- Medical,8842,5.8449693490614205,51681.21898440108,5.260472414155279,5168.121898440106
"G46B Complex Endoscopy, Minor Complexity",15- Age 65-69 yrs,1- Intervention,32300,1.548071916426669,50002.72290058141,1.3932647247840022,5000.272290058136
"G48B Colonoscopy, Minor Complexity",12- Age 50-54 yrs,1- Intervention,37591,1.3086100218654488,49191.95933194409,1.177749019678904,4919.195933194409
"I04B Knee Replacement, Minor Complexity",16- Age 70-74 yrs,1- Intervention,12562,3.8786084953782454,48723.07991894152,3.490747645840421,4872.307991894151
"L63A Kidney and Urinary Tract Infections, Major Complexity",19- Age 85+ yrs,2- Medical,7725,6.303602226050039,48695.32719623655,5.6732420034450355,4869.532719623647
"O60B Vaginal Delivery, Intermediate Complexity",07- Age 25-29 yrs,2- Medical,18504,2.5927659442347073,47976.54103211902,2.3334893498112366,4797.6541032118985
Z40Z Other Contacts with Health Services with Endoscopy,17- Age 75-79 yrs,1- Intervention,21118,2.2477741880557813,47468.49530336199,2.022996769250203,4746.8495303362
"G46B Complex Endoscopy, Minor Complexity",17- Age 75-79 yrs,1- Intervention,23422,2.025206676528893,47434.39077765973,1.822686008876004,4743.439077765972
Z40Z Other Contacts with Health Services with Endoscopy,16- Age 70-74 yrs,1- Intervention,23398,1.9834490001637244,46408.73970583082,1.785104100147352,4640.873970583081
"O01B Caesarean Delivery, Intermediate Complexity",07- Age 25-29 yrs,1- Intervention,11491,3.9875962914741963,45821.468985329986,3.5888366623267767,4582.146898532992
"G46B Complex Endoscopy, Minor Complexity",14- Age 60-64 yrs,1- Intervention,31669,1.4308930690479569,45314.95260367975,1.2878037621431613,4531.49526036797
"O01B Caesarean Delivery, Intermediate Complexity",09- Age 35-39 yrs,1- Intervention,10915,4.04819236326583,44186.01964504654,3.643373126939247,4418.6019645046545
